제목,기관,키워드,본문
"‘오늘도 사랑스럽개’ 차은우X박규영, 원작과 같은 듯 다른 비주얼 포스터 공개","MBN스타,진서원,네이버,서원,해나,MBC","사랑,차은우X박규영,원작,공개,비주얼,포스터,웹툰,원작자,이혜,작가,작화,콜라보,포스터,공개,그림,사랑,포스터,스페셜,공개,18일,방송,MBC,수요,드라마,사랑,서로,트라우마,비밀,조금씩,진서원,차은우,한해나,박규영,안방극장,대리,전달,서원,해나,만남,호감,평소,신경,질투,사실,심장,박동,키스,사람,모습,방송,로맨스,향방,사랑,동명,네이버웹툰,원작자,이혜,작가,작화,포스터,콜라보,공개,지난주,지난주,1,,명장면,바탕,1,,콜라보,포스터,각종,커뮤니티,SNS,관심,공개,포스터,콜라보,시선,포스터,말미,방송,결혼식장,동료,교사,서원,윤채아,이서엘,우산,장면,차은우,진서원,박규영,웹툰,비주얼,자랑,캐릭터,착붙,사람,모습,명장면,의도,초밀착,사람,거리,폭발,시청자들,연애,세포,드라마,방영,기념,작가,원작자,이혜,콜라보,포스터,추후,공개,예정,방송,목요일,공개,사랑,콜라보,포스터,흥미,자극,드라마,시청자들,선물,MBN스타","웹툰 원작자 이혜 작가가 작화한 3회 콜라보 포스터 공개 
그림으로 되짚어 보는 3회 명장면
‘오늘도 사랑스럽개’가 3회 스페셜 포스터를 공개했다.
지난 18일 오후 방송된 MBC 수요드라마 ‘오늘도 사랑스럽개’에서는 서로의 트라우마와 비밀을 감싸주며 조금씩 가까워지는 진서원(차은우 분)과 한해나(박규영 분)의 관계가 안방극장에 대리 설렘을 전달했다.
.."
"향기와 패션이 만났다...에이피알, 포맨트X널디 한정판 향수 출시","널디,어코드,에이피알,JTBC,드 널,이 퍼","향기,패션,에이피알,포맨트,널디,한정판,향수,출시,포맨트x,시그니처,퍼퓸,널디,판타지,에이피알,포맨트,퍼퓸,라이프,스타일,브랜드,FORMENT,스트릿,패션,브랜드,널디,NERDY,콜라보레이션,제품,자사,브랜드,협업,시너지,극대화,에이피알,론칭,지난달,판타지,포맨트,시그니처,퍼퓸,널디,에이피알,대표,브랜드,대표,포맨트,널디,패션,브랜드인,콜라보,제품,플래그십,오픈,기념,출시,제품,개성,디자인,강조,메시지,지지,브랜딩,요소,포맨트,향수,해석,개장,플래그십,테마,집중,향수,이름,플래그십,테마,동일,판타지,제품,외관,널디,퍼퓸,패키지,상징,컬러,퍼플,띠지,바틀,포맨트,향수,디자인,보라색,패턴,정면,로고,플레이,적용,사람,고양이,세상,플래그십,테마,고양이,스크래치,디자인,적용,레어,반항적,이미지,구성,탑노트,풋사과,오렌지,후각,미들노트,장미,아이리스,뮤게,어코드,대조적,구성,반항적,이중적,느낌,한정판,향수,온라인,판매,이날,홍대,위치,스토어,널디,플래그십,에이피알,브랜드간,콜라보,지속적,추진,계획,에이피알,브랜드들,뷰티,패션,주제,각자,영역,구축,만큼,긍정,고객,경험,확대,콜라보,역할,판단,포맨트,여름,앱솔루트,보드카,연초,JTBC,한문철,블랙박스,리뷰,방송,프로그램,7월,포토그레이,연남점,포토부스,콜라보,콘텐츠,에이피알,관계자,콜라보,포맨트,널디,개성,에이피알,브랜드들,성장세,만큼,자사,브랜드간,교차,콜라보,포함,방안,브랜딩,재고,검토","포맨트x널디 '시그니처 퍼퓸 널디 판타지' [파이낸셜뉴스] 에이피알이 퍼퓸&라이프스타일 브랜드 포맨트(FORMENT)와 스트릿 패션 브랜드 널디(NERDY)의 콜라보레이션 제품을 선보인다. 자사 브랜드 간 협업을 통해 시너지를 극대화할 것으로 기대된다. 
 
3일 에이피알에 따르면 지난달 27일 론칭한 포맨트 '시그니처 퍼퓸 널디 판타지'는 에이피알의 .."
"유통업계, 귀여운 캐릭터 콜라보로 MZ세대 ‘덕심’ 자극","더모코스메틱,올리브영,패트병,데일리 모이스처,비알코리아,데브시스터즈,현대,세라엠디,던킨,벨리곰,SPC,국순당","유통업계,캐릭터,콜라보,MZ,세대,덕심,자극,게임,매력,현대인,웃음,즐거움,힐링,선사,어른들,덕심,자극,강아지,아기,영상,SNS상,조회,기록,증명,유통업계,모양,행동,캐릭터,협업,어른이,어른,어린이,성향,MZ,세대,소비자,마음,공략,화장품,업계,식품,주류업계,유통업계,캐릭터,콜라보,리얼베리어,피부,장벽,전문,더모,코스메틱,브랜드,Real,Barrier,일상,일상,웃음,세계관,거대,인형,캐릭터,벨리곰,협업,2종,리얼베리어,벨리곰,한정,익스트림,익스트림,리얼베리어,제품,대표,보습,익스트림,크림,익스트림,로션,덩치,사람,웃음,사랑,캐릭터,벨리곰,패키지,패키지,구매,구매처,콜라보,제품,구매,키링,벨리곰,인형,열쇠고리,스마트톡,파우치,증정,열광,소비자들,눈길,리얼베리어,브랜드,출시,기획세트,리얼베리어,벨리곰,한정,익스트림,크림,5일,행사,시작,올리브영,온라인몰,판매,랭킹,달성,벨리곰,셀럽,인기,실감,가량,벨리곰,키링,리얼베리어,콜라보,굿즈,가치,만큼,소장,덕심,자극,한몫,더마비,생활,보습,바디,전문,브랜드,Derma,MZ세대,취향,저격,와사비,감성,캐릭터,협업,마비X와사비,콜라보,한정,출시,와사비베어,슈가레인,인형,핸드,메이드,작가,캐릭터,개인,취향,개성,중시,MZ,세대,특성,반영,DIY,형태,인형,체형,와사비베어,일견,말투,표정,와사비,연상,사이,사랑,대표,제품,바디로션,데일리,모이스처,데일리,모이스처,로션,세라엠디,리페어,고보습력,와사비맛,연결,보습,매운맛,메시지,와사비,캐릭터,전달,와사비,캐릭터,적용,제품,패키지,한정,구매,새침,콜라보,기획,세트,구매,와사비,인형,키링,스티커,포인트,증정,프로모션,마비,콜라보,제품,올리브영,오프라인,판매,기준,출시,판매,바디로션,데일리,모이스처,로션,세라엠디,리페어,전년,동기,대비,2022년,10일,매출,136%,증가,추산,1분,1개,브랜드,더마비,선호,취향,MZ,세대,소비자,캐릭터,콜라보,지속,대표,제품군,이미지,화장품,브랜드,업계,식품,주류,캐릭터,콜라보,덕심,자극,SPC,비알,코리아,운영,던킨,데브시스터즈,쿠키런,모바일,게임,킹덤,캐릭터,협업,키링,쿠키런,인형,2종,키링,쿠키런,인형,2종,데브시스터즈,쿠키런,킹덤,등장,인기,캐릭터,쿠키,딸기맛,쿠키,모양,키링,봉제,인형,전국,매장,1만,구매,구매,가능,수량,소진,행사,자동,종료,소진,시점,점포,제품,국순당,IPX,라인프렌즈,협업,라인프렌즈,캐릭터,국순당,단팥,국순당,출시,국순당,단팥,국순당,브라운,라인프렌즈,캐릭터,패트,제품,브니니,제품,2가지,할매니얼,트랜드,인기,막걸리,접목,팥빙수,아이스크림,특징,패트병,제품,무표정,표정,매력,브라운,라인프렌즈,캐릭터,디자인,제품,브니니,이미지,친근감","“귀여우면 게임 끝?!” ‘귀여움’이 지닌 매력이 지친 현대인에게 웃음과 즐거움, 나아가 힐링까지 선사하며 어른들의 ‘덕심’을 자극하고 있다. 귀여운 강아지나 아기의 웃는 영상 등이 SNS상에서 높은 조회 수를 기록하는 것 역시 ‘귀여움’의 힘을 증명한다. 
 
 이에 유통업계에서는 모양이나 행동이 앙증맞고 곱살스러운 캐릭터와의 협업을 통해 어른이(어른.."
추석선물도 ‘콜라보’가 대세 현대百 “소비자 트렌드 변해 맞춤 대응”,"애플,현대백화점,현대百","추석선물,콜라보,대세,현대,소비자,트렌드,대응,추석,연휴,모임,여행지,홈파티,적합,상품,콜라보,세트,선호도,현대백화점,19일,정육,선물,세트,매출,결과,소스,양념,시즈닝,한우,세트,판매량,추석,비교,61.9%,증가,신장률,기간,현대백화점,추석,선물,세트,매출,신장,31.1%,2배,육박,수치,대표,상품,한우,등심스테이크,불고기,세트,지난달,예약,판매,개시,달만,조기,품절,현대백화점,관계자,조리,풍미,식사,고급,소스,양념,구매,고객들,캠핑장,여행지,모임,휴식,명절,문화,정착,연휴,추석,휴가,계획,고객들,영향,풀이,선호,콜라보,상품,상품군,전통적,명절과일,사과,샤인머스켓,애플망고,디저트,과일,조합,세트,수요,실제,과일,구성,매출,혼합,세트,추석,50.8%,증가,대표,상품,사과,샤인머스켓,머스크,멜론,애플망고,구성,현대명품,혼합,과일,24만,26만,금향멜론,샤인머스켓,애플망고,구성,H-SWEET,금향,애플망고,샤인머스켓,15만,17만,현대백화점,관계자,조합,인기,다품종,세트,고객,눈높이,콜라보,상품,준비,주문,명절,기간,배송,관리,서비스,품질,신경","올해 추석 연휴에는 대가족 모임보다 여행지나 홈파티 등에서 즐기기에 적합한 상품을 묶은 콜라보' 세트 선호도가 높아졌다는 분석이다. 현대백화점은 19일 지난 한 달간 정육 선물세트별 매출을 분석한 결과, 소스 양념 등 시즈닝과 한우를 묶은 세트 판매량이 지난해 추석과 비교해 61.9% 증가했다고 밝혔다. 같은 기간 현대백화점 전체 추석 선물세트 매출 신.."
"작품 전시하고, 강좌 열고 ‘프리즈’서 백화점-패션업체 만나요","큐,신세계百,키아프리즈,신세계백화점,미,현대백화점,신라호텔,현대百,한국,메타,한국화랑협회,아트","작품,전시,강좌,프리즈,백화점,패션업체,이주,PICK,프리즈,전시장,유통업체들,신세계,라운지,컬렉션,전시,현대,운영,체험,공간,강좌,진행,호텔,패션업체,노려,프리즈,수요,가을,예술,6일,9일,아트페어,세계,아트,페어,프리즈,코엑스,서울,강남구,6일,10일,한국화랑협회,한국국제아트페어,KIAF,키아프리즈,아트,콜라보,진행,유통업체들,키아프리즈,갖가지,행사,예정,백화점,업계,키아프리즈,콜라보,준비,신세계백화점,프리즈,서울,공식,파트너,참가,행사장,VIP,라운지,개장,예정,나무,가죽,자연,소재,활용,한국,신세계백화점,소유,아트,컬렉션,관람,파트너,키아프,공식,참가,현대백화점,키아프,현대어린이책미술관,MOKA,부스,설치,메타,버스,체험,공간,예정,행사,기간,문화센터,아트,컬렉팅,시장,세계,미술,흐름,강좌,개강,예정,호텔들,프리즈,서울,맞이,마케팅,돌입,프리즈,파트너십,서울,신라호텔,프리즈,서울,VIP,패스,제공,객실,패키지,프리즈,위크,신라,서울,객실,라운지,이용,특별,기프트,포함,패스,31일,이용,가능,이달,연말,서울,신라호텔,로비,이배,작가,시리즈,신작,전시,시그니엘,서울,2장,프리즈,입장권,숙박권,결합,패키지,아트,갤러리,콜라보,패션,업계,프리즈,맞이,파트너,프리즈,공식,참여,W컨셉,패션,플랫폼,행사장,라운지,설치,아티스트,콜라보,전시,체험,공간,예정,외출,계절,미술,나들이,가을,유통팀,레이션,라이프스타일,인스타그램,magazine",가을과 함께 예술이 찾아왔습니다. 다음 달 6일부터 9일까지 세계 3대 아트페어로 불리는 ‘프리즈’가 지난해에 이어 서울 강남구 코엑스에서 열립니다. 6일부터 10일까지 한국화랑협회가 여는 한국국제아트페어(KIAF 키아프)와 함께 묶어 ‘키아프리즈’로 불리기도 하는데요. 최근 다양한 아트 콜라보를 진행하는 유통업체들도 키아프리즈와 함께하는 갖가지 행사를..
게이머 ‘덕심’ 잡는다 韓 게임사 이색 콜라보,"어드벤처,네오위즈,반올림피자,현대카드,엔씨,왕뚜껑은사막,넷마블,펄어비스,신한카드,넥슨,장르,한국콘텐츠진흥원,타깃,엔씨소프트,쿵야,이락디지털문화연구소장","게이머,덕심,게임사,이색,콜라보,음식,카드사,방면,이색,협업,수익원,발굴,확보,신규,이용자,게임,산업,음식,카드사,미디어,방면,이색,협업,외연,확장,콜라보,특정,타깃,유입,유도,골수,게이머,덕심,게임사들,수익원,발굴,신규,이용자,확보,일거양득,효과,이색,콜라보,연일,화제,펄어비스,라면,브랜드,맞손,펄어비스,사막,감은사막,샴푸,특이,제휴,이용자들,웃음,팔도,왕뚜껑,사막,왕뚜껑,사막,컵라면,왕뚜껑,사막,열기,콘셉트,기획,제품,사막,디자,패키징,특징,제품,구매,동봉,쿠폰,게임,아이템,제휴,상자,펄어비스,관계자,펄어비스,이용자들,혜택,오프라인,재미,제공,제품군,콜라보,이벤트,진행,이용자들,추억,선물,콜라보,계획,네오위즈,피자,프렌차이즈,반올림,피자,고양이,힐링,방치,모바일,게임,스프,컬래버레이션,이벤트,진행,반올림피자,콜라보,메뉴,주문,고양이,스프,인게임,사용,가능,아이템,쿠폰,제공,방식,고양,캐릭터,요리사,변신,피자,삽화,피자,상자,제공,엔씨소프트,넥슨,카드사,협업,엔씨,다중접속역할수행게임,MMORPG,리니지2,몬스터,유래,캐릭터,도구리,신한카드,제휴,카드,출시,캐릭터,반전,문구,재미,요소,카드,소장,가치,저격,신용,체크카드,사용자,대상,각종,이벤트,진행,도구리,굿즈,상품,키트,제공,넥슨,인기,지식,재산,IP,데이브,다이버,26일,기획,행사,데이브,6월,출시,하이브리드,해양,어드벤처,장르,싱글,게임,독창적,게임성,완성도,콘텐츠,출시,100만,누적,판매량,돌파,한국콘텐츠진흥원,선정,이달,우수게임,선정,흥행,넥슨,현대카드,넥슨,현대카드,공개,게이머,넥슨,현대카드,이벤트,기간,15만,사용,포인트,게임,머그잔,사은품,혜택,넷마블,IP,효자,캐릭터,극장가,진출,쿵야,채소,캐릭터,소재,출시,야채부락리,캐주얼,게임,야채,부락리,출발,TV,애니메이션,쿵야쿵야,장면,소셜미디어,중심,유명,MZ세대,사랑,캐릭터,급부상,쿵야레스토랑즈,인스타그램,16만,기록,인기,레스토랑즈,개봉,추석,시즌,영화,퇴마,연구소,설경,비밀,특별,콜라보,진행,협업,레스토랑즈,주인공,양파쿵야,영화,캐릭터,영화,변신,모습,예정,각종,행사,굿즈,제공,이벤트,영화,티켓,증정,방식,이색적,콜라,자사,게임,기업,이미지,부각,홍보,전략,주목,이장주,이락,디지털,문화,연구소장,게임,서비스,제품,콜라보,상생,발전,평가","게임 산업계가 음식, 카드사, 미디어 등 여러 방면에서 이색 협업을 통해 외연 확장에 나서고 있다. 다채로운 콜라보는 특정 타깃층의 유입을 유도할 뿐 아니라 골수 게이머들의 ‘덕심’을 더 굳건하게 한다. 게임사들은 새로운 수익원을 발굴하고 신규 이용자를 확보하는 등 일거양득 효과를 얻고 있다. 
 
적극적인 이색 콜라보로 연일 화제를 낳은 펄어비스는 이.."
"허그매트X헬로입주, 콜라보 상품권 증정 이벤트 진행","허그매트X헬로입주,허그매트,아이에스동서,허그컴퍼니","허그매트X헬로입주,진행,콜라보,상품권,증정,이벤트,허그컴퍼니,층간,소음매트,전문,브랜드,허그매트,헬로입주,콜라보이벤트,진행,25일,사람들,운영,헬로입주,입주,신축,아파트,준비,고객,시공,파트너,연결,입주,온라인,매칭,플랫폼,아이에스동서,건설,건자재,리모델링,경험,권지혜,대표,창업,콜라보,이벤트,참여,방법,헬로입주,회원,가입,결제,시공,상품권,지급,이벤트,마감,상품권,소진,조기,허그매트,관계자,경기,고객,경제,부담,이벤트,신뢰,브랜드,혜택,참여,난이도,만큼,소진,예상,혜택,고객,부담,프로모션,진행,계획,허그매트,바닥재,손상,최소화,허니컴,구조,매트,출시,예정","[머니투데이 김재련 기자] 허그컴퍼니의 층간소음매트 전문 브랜드 허그매트가 헬로입주와 함께 콜라보이벤트를 진행한다고 25일 밝혔다.

 
내일을사는사람들이 운영하는 헬로입주는 신축 아파트 입주를 준비 중인 고객과 시공 파트너를 연결해주는 입주 온라인 매칭 플랫폼으로 아이에스동서에서 건설, 건자재, 리모델링 등 경험을 쌓은 권지혜 대표가 창업했다.

이번.."
"예지미인, 오가닛데일리 몰랑이 키링 세트 콜라보 출시","예지미인,오가닛데일리","예지미인,오가닛데일리,몰랑,키링,세트,콜라보,출시,콜라보,활동,진행,예정,여성,용품,전문,브랜드,예지미인,몰랑이,인기,캐릭터,협업,몰랑,오가닛데일리,생리대,키링,세트,신규,출시,14일,예지미인,콜라보,세트,유기농,순면,커버,생리대,오가닛데일리,몰랑,키링,열쇠고리,구성,예지미인,오가닛데일리,3년,화학비료,화학,비료,사용,토양,채취,목화,사용,생리대,유기농,순면,커버,캐릭터,찹쌀떡,토끼,모양,몰랑이,순수,형상화,키링,무작위,동봉,여성,신체적,심리적,컨디션,저하,생리,기간,즐거움,선사,기획,에디션,오가닛데일리,띠부씰,소비자,반응,몰랑,캐릭터,모습,키링,파우치,가방,포인트,액세서리,활용,회사,설명,예지미인,관계자,콜라보레이션,활동,고객들,교감,예정","여성용품 전문 브랜드 예지미인이 인기 캐릭터 몰랑이와 협업해 ‘오가닛데일리 생리대 몰랑이 키링 세트’를 신규 출시한다고 14일 밝혔다. 
 

 예지미인의 이번 콜라보 세트는 유기농 순면커버 생리대 오가닛데일리와 몰랑이 키링(열쇠고리)으로 구성됐다. 
 

 예지미인 오가닛데일리는 3년 이상 화학비료를 사용하지 않은 토양에서 채취한 목화를 사용한 유기농.."
"""코난 덕후 모여라"" CU 명탐정 코난 콜라보 상품 2탄 출시","CU,파스타,사무소","코난,덕후,출시,CU,명탐정,코난,콜라보,상품,CU,코난,애니메이션,명탐점,인기,콜라보,상품,업계,단독,2탄,명탐정,코난,콜라보,상품,6종,상품,명탐정,코난,등장,캐릭터들,80종,띠부씰,팬들,수집,욕구,CU,젤리,알약,모양,코난,추리,사용,음성,변조,나비,넥타이,모양,명탐정,코난,리본,젤리,딸기,포와,나폴리탄,파스타,코난,신세,유명,탐정,사무소,건물,카페,포와로,인기,메뉴,상품,CU,카레밥,토핑,감자,감자,카레,삼각김밥,출시,의혹,의혹,카레버거,도시락,카레,카레,유부,초밥","[머니투데이 조한송 기자] CU가 애니메이션 '명탐점 코난'의 인기에 힘입어 오는 31일 콜라보 상품 2탄을 업계 단독으로 선보인다.

이번에 선보이는 명탐정 코난 콜라보 상품 2탄은 총 6종이다. 각 상품에는 명탐정 코난에 등장하는 캐릭터들을 그려 넣은 80종의 띠부씰을 넣어 팬들의 수집 욕구를 높였다.

 CU는 알약 모양 젤리에 이어 코난이 추리할.."
15대의 피아노가 연주되는 ‘2023 경기피아노페스티벌’,"쉬프,경기아트센터,수원시음악협회,하트하트오케스트라,경기필하모닉오케스트라,대극장,마이,소나티네","15대,피아노,연주,경기피아노,페스티벌,예술감독,피아니스트,김대진,경기아트센터,경기피아노,페스티벌,포스터,개최,피아니스트,김대진,예술감독,수원시음악협회,기회,피아노,주제,진행,축제,쉬프,거장,안드라스,리사이틀,피아노,사랑,아마추어,연주자,프로그램,대극장,콘서트,개막,오프닝,피아노,오케스트라,김대진,예술,감독,30명,피아니스트,무대,쇼팽,발라드,15대,피아노,연주,5번,베토벤,교향곡,소극장,소나티네,마이,페이보릿,Favorite,Sonatine,피아노,콜라보,차례,소나티네,마이,페이보릿,수원시,음악,협회,공모,선정,아마추어,피아니스트,참여,피아노,콜라보,피아니스트,2인,영재,피아니스트,콜라보,무대,준비,피아니스트들,피아니스트,안드라스,쉬프,대극장,공연,프로그램,사전,공개,유명,쉬프,리사이틀,바흐,하이,모차르트,베토벤,슈베르트,즉흥적,선택,연주,무대,소극장,무대,장애인,콘서트,발달,장애인,단원,구성,하트하트오케스트라,모차르트,대표곡,연주,대극장,경기필하모닉오케스트라,신박듀오,피아니스트,임동민,페스티벌,마지막,무대,장식,경기아트센터,열린무대,무대,피아노,버스킹,예정","경기아트센터는 10월 4~7일 ‘2023 경기피아노페스티벌’(포스터)을 개최한다. 피아니스트 김대진이 예술감독을 맡았으며 수원시음악협회가 함께한다. ‘모두의 기회, 모두의 피아노’라는 주제로 진행되는 이번 축제는 거장 안드라스 쉬프의 리사이틀부터 피아노를 사랑하는 아마추어 연주자들까지 다채로운 프로그램으로 이루어져 있다. 
 
10월 4일 대극장의 개막.."
15대 피아노 한 무대로 ‘2023 경기피아노페스티벌’ 개최,"쉬프,경기아트센터,수원시음악협회,하트하트오케스트라,경기필하모닉오케스트라,대극장,마이,소나티네","피아노,무대,경기피아노페스티벌,개최,경기아트센터,경기아트센터,경기피아노,페스티벌,개최,피아니스트,김대진,예술감독,수원시음악협회,기회,피아노,주제,진행,축제,쉬프,거장,안드라스,리사이틀,피아노,사랑,아마추어,연주자,프로그램,대극장,콘서트,개막,오프닝,피아노,오케스트라,김대진,예술,감독,30명,피아니스트,무대,쇼팽,발라드,15대,피아노,연주,5번,베토벤,교향곡,소극장,소나티네,마이,페이보릿,Favorite,Sonatine,피아노,콜라보,차례,소나티네,마이,페이보릿,수원시,음악,협회,공모,선정,아마추어,피아니스트,참여,피아노,콜라보,피아니스트,2인,영재,피아니스트,콜라보,무대,준비,피아니스트들,피아니스트,안드라스,쉬프,대극장,공연,프로그램,사전,공개,유명,쉬프,리사이틀,바흐,하이,모차르트,베토벤,슈베르트,즉흥적,선택,연주,무대,소극장,무대,장애인,콘서트,발달,장애인,단원,구성,하트하트오케스트라,모차르트,대표곡,연주,대극장,경기필하모닉오케스트라,신박듀오,피아니스트,임동민,페스티벌,마지막,무대,장식,경기아트센터,열린무대,무대,피아노,버스킹,예정","경기아트센터는 10월 4~7일 ‘2023 경기피아노페스티벌’을 개최한다. 피아니스트 김대진이 예술감독을 맡았으며 수원시음악협회가 함께한다. ‘모두의 기회, 모두의 피아노’라는 주제로 진행되는 이번 축제는 거장 안드라스 쉬프의 리사이틀부터 피아노를 사랑하는 아마추어 연주자들까지 다채로운 프로그램으로 이루어져 있다. 
 
10월 4일 대극장의 개막 ‘오프닝.."
"SRT, 승차권과 LG 야구관람권 결합한 패키지 상품 개발","에스알,LG스포츠,LG,SR,에스알(SR)","SRT,승차권,결합,LG,야구,관람,패키지,상품,고객,팬층,확대위,업무,협약,체결,이벤트,경품,협찬,제작,콜라보,굿즈,협력,에스알,잠실종합운동장,서울,LG스포츠,업무햡약식,고객,팬층,확대,열차,경기관람,연계,사업,추진,에스알,제공,고속,철도,SRT,LG,승차권,야구,관람,결합,패키지,상품,콜라보,굿즈,협력,에스알,SRT,운영사,SR,LG스포츠,열차,경기관람,연계,패키지,상품,잠실종합운동장,서울,업무협약,체결,24일,22일,협약식,대표,이종국,에스알,대표,김인석,LG,스포츠,참석,고객,팬층,확대,연계사업,추진,에스알,LG스포츠,SRT,승차권,야구,관람,결합,패키지,상품,상호,오프라인,광고,매체,활용,확산,광고,협력,이벤트,경품,상호,협찬,콜라보,굿즈,제작,ESG,지속가능,미래,가치,창출,사업,협력,계획,대표이사,이종국,에스알,대표,이사,SRT,경전,동해,전라선,운행확대,지역,스포츠팬들,SRT,편리,전국,스포츠경기,관람,LG스포츠,협력,지역사회,지속,가능,발전,노력","에스알은 22일 서울 잠실종합운동장에서 LG스포츠와 업무햡약식을 열고, 양 사의 고객과 팬층 확대를 위해 열차와 경기관람을 연계한 다양한 사업을 함께 추진하기로 했다. 에스알 제공



 고속철도 SRT이 LG와 함께 승차권과 야구 관람권을 결합한 패키지 상품을 개발하고 콜라보 굿즈를 개발하는 등 서로 협력하기로 했다. 
 
 SRT 운영사 에스알(SR.."
"크래프톤, 서울 성수동에 PNC 2023 팝업 스토어 오픈","PNC,크래프톤","크래프톤,서울,성수동,PNC,팝업,스토어,오픈,크래프톤,펍지,네이션스,개최,서울,성수동,팝업,스토어,운영,크래프톤,스토어,서울,성수동,테이스트앤드테이스트,플래그십,오픈,팝업,스토어,PNC,개최,기념,콜라보,메뉴,PNC,굿즈,스토어,17일,운영,PNC,메뉴,콜라보,겼닭,수류탄,스테이크,아란치니,에이드,보급,상자,블루레몬,에이드,수박,구성,메뉴들,테이스트앤드테이스트,배틀그라운드,영감,바탕,콜라보,메뉴,주문,PNC,스티커,팝업,스토어,PNC,반팔,티셔츠,PNC,기념,PNC,타올,응원,PNC,굿즈,구매,PNC,굿즈,구매,고객,크래프톤,리유저블백,증정,현장,비치,부스,특별,포토,기념사진,촬영,오픈,팝업,스토어,기념,SNS,이벤트,진행,PNC,국가,대표,선수,스쿼드,실력,국가대항전,15일,17일,3일,서울,상암동,아프리카,콜로세움,유관중,진행,이다,니엘","크래프톤이 ‘펍지 네이션스 컵 2023’ 개최를 맞아 서울 성수동에 팝업 스토어를 운영한다. 
 
12일 크래프톤에 따르면 서울 성수동 테이스트앤드테이스트 플래그십 스토어에 오픈한 팝업 스토어에서 PNC 2023 개최를 기념하는 다양한 콜라보 메뉴와 PNC 2023 굿즈를 만나볼 수 있다. 스토어는 오는 17일까지 운영한다. 
 
PNC 2023 콜라보.."
"CU, 명탐정 코난 협업 상품 2탄 출시 “띠부씰 넣어 수집욕 높였다”","매니아,BGF리테일,CU","CU,명탐정,코난,협업,상품,출시,수집욕,CU,코난,애니메이션,명탐점,2탄,협업,상품,업계,단독,29일,2탄,명탐정,코난,콜라보,상품,6종,1탄,애니메이션,세계관,애니메이션,반영,상품,명탐정,코난,등장,캐릭터,80종,띠부씰,팬들,수집,욕구,CU,포와,명탐정,코난,리본,젤리,딸기,의혹,나폴리탄,파스,감자,카레,삼각김밥,의혹,카레버거,도시락,카레,카레,유부,초밥,6종,CU,26번,명탐정,코난,흑철,극장판,영화,어영,개봉,샌드위치,주먹볼,젤리,4종,콜라보,상품,출시,상품,매니아,입소문,출시,100만,누적,판매량,달성,김광민,BGF,리테일,상품,상품,기획자,MD,상품들,캐릭터,콜라보,상품,매출,직전,직전,대비,3배,매출,신장,열풍,캐릭터,협업,인기,캐릭터,CU,차별,상품,지속적,예정","CU는 애니메이션 '명탐점 코난' 협업 상품 2탄을 업계 단독으로 선보인다고 29일 밝혔다.

이번에 선보이는 명탐정 코난 콜라보 상품 2탄은 총 6종이다. 1탄과 마찬가지로 애니메이션 속 세계관을 충실히 반영했다. 각 상품에는 명탐정 코난에 등장하는 캐릭터를 그려 넣은 80종의 띠부씰을 넣어 팬들의 수집 욕구를 높였다.

CU는 △명탐정 코난 리본젤리.."
"크래프톤, 서울 성수동에 PNC 2023 팝업 스토어 오픈","PNC,크래프톤,경기,이스포츠","크래프톤,서울,성수동,PNC,팝업,스토어,오픈,크래프톤,펍지,네이션스,PNC,개최,서울,성수동,PNC,팝업,스토어,17일,운영,스토어,서울,성수동,테이스트앤드테이스트,플래그십,오픈,팝업스토어,PNC,개최,기념,콜라보,메뉴,PNC,굿즈,PNC,메뉴,콜라보,수류탄,스테이크,아란치니,에이드,보급,상자,블루레몬,에이드,수박,구성,메뉴,테이스트앤드테이스트,PUBG,배틀그라운드,영감,요소,메뉴,적용,콜라보,메뉴,주문,PNC,스티커,PNC,반팔,티셔츠,PNC,기념,PNC,타올,응원,PNC,굿즈,현장,비치,부스,특별,포토,기념사진,촬영,가능,크래프톤,PNC,굿즈,구매,고객,크래프톤,리유저블백,증정,경품,이벤트,인증샷,팝업,스토어,방문,인증,필수태그,pubgesports,tasteandtaste.kr,인스타그램,스토리,업로드,종료,팝업,스토어,운영,추첨,아이템,배틀그라운드,PNC,번들,메가,테이스트앤드테이스트,식사,증정,PNC,대회,배틀그라운드,이스포츠,선수,소속팀,각자,국가,대표,실력,대회,국가,대항전,방식,PNC,15일,17일,3일,진행,하루,매치,경기,콜로세움,상암,아프리카,유관중,진행,공식,채널,세계,온라인,예정","크래프톤은 '펍지 네이션스 컵 2023(PNC 2023)' 개최를 맞아 서울 성수동에서 PNC 2023 팝업스토어를 17일까지 운영한다.

서울 성수동 테이스트앤드테이스트 플래그십 스토어에 오픈한 팝업스토어에서는 PNC 2023 개최를 기념하는 다양한 콜라보 메뉴와 PNC 2023 굿즈를 만나볼 수 있다.

PNC 2023 콜라보 메뉴는 △이겼닭 치킨 .."
